,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific
EX6GFAAK,A Data Mining Framework for Electricity Consumption Analysis From Meter Data,IEEE Transactions on Industrial Informatics,,"De Silva, Daswin; Yu, Xinghuo; Alahakoon, Damminda; Holmes, Grahame",journalArticle,2011.0,ElectricalEngineering,SmartMeter,MotifandDiscordDetection,IncrementalSummarizationandPatternChar,LoadProfiling
F36TB79K,The energy dashboard: improving the visibility of energy consumption at a campus-wide scale,Proceedings of the First ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2009),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),"Agarwal, Yuvraj; Weng, Thomas; Gupta, Rajesh K.",conferencePaper,2009.0,ComputerScience,PortfolioAnalysis,VisualAnalytics,EnergyInformationSystem,Characterization
F8NKEUPH,Research Scoping Report: Visualizing Information in Commercial Buildings,,,"Lehrer, David",report,2009.0,BuildingEnergyAnalysis,PortfolioAnalysis,VisualAnalytics,EnergyInformationSystem,Characterization
FGJB6NPU,Statistical Anomaly Detection in Mean and Variation of Energy Consumption,Proceedings of the 22nd International Conference on Pattern Recognition (ICPR),International Conference on Pattern Recognition (ICPR),"Chen, Bei; Sinn, Mathieu; Ploennigs, Joern; Schumann, Anika",conferencePaper,2014.0,ElectricalEngineering,AnomalyDetection,NoveltyDetection,GeneralizedAdditiveModels,WholeBuilding
FSFGMZDS,"e2-Diagnoser: A System for Monitoring, Forecasting and Diagnosing Energy Usage","Data Mining Workshop (ICDMW), 2014 IEEE International Conference on",IEEE International Conference on Data Mining Workshop (ICDMW),"Ploennigs, Joern; Chen, Bei; Palmes, Paulito; Lloyd, Raymond",conferencePaper,2014.0,ElectricalEngineering,PortfolioAnalysis,NoveltyDetection,GeneralizedAdditiveModels,Classifying
GC4RKRKD,Improving load forecast accuracy by clustering consumers using smart meter data,Proceedings of the 2015 International Joint Conference on Neural Networks (IJCNN),International Joint Conference on Neural Networks (IJCNN),"Shahzadeh, Abbas; Khosravi, Abbas; Nahavandi, Saeid",conferencePaper,2015.0,ComputerScience,SmartMeter,Clustering,K-Means,LoadProfiling
GJ3SUSFI,SmartD: Smart Meter Data Analytics Dashboard,Proceedings of the 5th International Conference on Future Energy Systems (e-Energy '14),ACM International Conference on Future Energy Systems (e-Energy),"Jarrah Nezhad, Aylin; Wijaya, Tri Kurniawan; Vasirani, Matteo; Aberer, Karl",conferencePaper,2014.0,ComputerScience,SmartMeter,VisualAnalytics,PatternAnalysis,LoadProfiling
GK4QWTI4,Evaluating a data clustering approach for life-cycle facility control,Journal of Information Technology in Construction,,"Bogen, A C; Rashid, M; East, E W; Ross, J",journalArticle,2013.0,BuildingEnergyAnalysis,Operations,Clustering,MultipleTechniques,Controls
GM53EHQA,Reducing energy consumption by using self-organizing maps to create more personalized electricity use information,Applied Energy,,"Räsänen, Teemu; Ruuskanen, Juhani; Kolehmainen, Mikko",journalArticle,2008.0,ComputerScience,SmartMeter,Clustering,SelfOrganizingMaps,CustomerClassification
H2Q88URM,"Visualizing Energy Information in Commercial Buildings: A Study of Tools, Expert Users, and Building Occupants",,,"Lehrer, David; Vasudev, Janani",report,2011.0,BuildingEnergyAnalysis,PortfolioAnalysis,VisualAnalytics,EnergyInformationSystem,Characterization
H7K83UGI,Improving energy efficiency in buildings using machine intelligence,Intelligent Data Engineering and Automated Learning-IDEAL 2009,,"Sedano, Javier; Villar, José Ramón; Curiel, Leticia; De La Cal, Enrique; Corchado, Emilio",bookSection,2009.0,ComputerScience,PortfolioAnalysis,Clustering,MaximumLikelihood,Targeting
HJGAV2JF,Mining Building Energy Management System Data Using Fuzzy Anomaly Detection and Linguistic Descriptions,IEEE Transactions on Industrial Informatics,,"Wijayasekara, D.; Linda, O.; Manic, M.; Rieger, C.",journalArticle,2014.0,ComputerScience,AnomalyDetection,NoveltyDetection,MultipleTechniques,Subsystem
HNSDA23M,Divide and Conquer K-Means Clustering of Demand Data Allows Rapid and Accurate Simulations of the British Electricity System,IEEE Transactions on Engineering Management,,"Green, R.; Staffell, I.; Vasilakos, N.",journalArticle,2014.0,ElectricalEngineering,SmartMeter,Clustering,K-Means,LoadProfiling
HUMBE2I5,Efficient Rule Engine for Smart Building Systems,IEEE Transactions on Computers,,"Sun, Yan; Wu, Tin-Yu; Zhao, Guotao; Guizani, M.",journalArticle,2015.0,ElectricalEngineering,AnomalyDetection,NoveltyDetection,DataAssociationRules,Subsystem
HZAWRJNR,Using intelligent data analysis to detect abnormal energy consumption in buildings,Energy and Buildings,,"Seem, John E",journalArticle,2006.0,BuildingEnergyAnalysis,AnomalyDetection,NoveltyDetection,GeneralizedExtremeStudentizedDeviate,WholeBuilding
IDIWZJ6K,Visualizing frequent patterns in large multivariate time series,Proceedings of SPIE Conference on Visualization and Data Analysis 2011,SPIE Conference on Visualization and Data Analysis,"Hao, M.; Marwah, M.; Janetzko, H.; Sharma, R.; Keim, D. A.; Dayal, U.; Patnaik, D.; Ramakrishnan, N.",conferencePaper,2011.0,ComputerScience,Operations,VisualAnalytics,PatternAnalysis,Controls
ISK75RNE,Variability of electricity load patterns and its effect on demand response: A critical peak pricing experiment on Korean commercial and industrial customers,Energy Policy,,"Jang, Dongsik; Eom, Jiyong; Jae Park, Min; Jeung Rho, Jae",journalArticle,2016.0,BuildingEnergyAnalysis,SmartMeter,Clustering,K-Means,CustomerClassification
J9C9ANQN,Black-box models for fault detection and performance monitoring of buildings,Journal of Building Performance Simulation,,"Jacob, Dirk; Dietz, Sebastian; Komhard, Susanne; Neumann, Christian; Herkel, Sebastian",journalArticle,2010.0,BuildingSimulation,AnomalyDetection,Clustering,Hierarchical,WholeBuilding
JTEUKS2H,A Learning Approach for Energy Efficiency Optimization by Occupancy Detection,Internet of Things. User-Centric IoT,,"Mansur, Vitor; Carreira, Paulo; Arsenio, Artur",bookSection,2015.0,ComputerScience,Operations,Clustering,K-Means,OccupancyDetection
K96TDHIB,Correlation between occupants and energy consumption,Energy and Buildings,,"Ahn, Ki-Uhn; Park, Cheol-Soo",journalArticle,2016.0,BuildingEnergyAnalysis,Operations,RuleExtraction,Wavelets,OccupancyDetection
KGCQKK6T,A model-based fault detection and diagnostic methodology based on PCA method and wavelet transform,Energy and Buildings,,"Li, Shun; Wen, Jin",journalArticle,2014.0,BuildingEnergyAnalysis,AnomalyDetection,NoveltyDetection,PCA,Subsystem
KM3W73RH,Prediction of Chiller Power Consumption Using Time Series Analysis and Artificial Neural Networks,"Proceedings of the 8th International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings (CLIMA 2013)","International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings (CLIMA)","Fan, Cheng; Xiao, Fu; Shengwei, Wang",conferencePaper,2013.0,BuildingEnergyAnalysis,Operations,Clustering,K-Means,Controls
MNIX6F9N,Estimation of Thermal Parameters of Buildings Through Inverse Modeling and Clustering for a Portfolio of Buildings,Proceedings of the Fifth National Conference of IBPSA-USA (SimBuild 2012),National Conference of IBPSA-USA (SimBuild),"An, Lianjun; Horesh, Raya; Chae, Young Tae; Lee, Young M",conferencePaper,2012.0,BuildingSimulation,PortfolioAnalysis,Clustering,K-Means,Characterization
MPHSZXV2,Classification of Commerical Building Electrical Demand Profiles for Energy Storage Applications,"Proceedings of ASME 2012 6th International Conference on Energy Sustainability & 10th Fuel Cell Science, Engineering and Technology Conference (ESFuelCell2012)",ASME International Conference on Energy Sustainability,"Florita, Anthony R; Brackney, Larry J; Otanicar, Todd P; Robertson, Jeffrey",conferencePaper,2012.0,BuildingSimulation,SmartMeter,Clustering,Bayesian,CustomerClassification
MU2A86AJ,A novelty detection approach to identify the occurrence of leakage in smart gas and water grids,Proceedings of the 2015 International Joint Conference on Neural Networks (IJCNN),International Joint Conference on Neural Networks (IJCNN),"Fagiani, Marco; Squartini, Stefano; Severini, Marco; Piazza, Francesco",conferencePaper,2015.0,ComputerScience,SmartMeter,NoveltyDetection,MarkovModel,CustomerClassification
